"block","group","path","est","se","ci.lower","ci.upper","pvalue","sig"
"autoregressive","ses1","BMI -> BMI",0.458360069553043,0.0278777329057864,0.403720717087075,0.512999422019012,0,"***"
"autoregressive","ses2","BMI -> BMI",0.572533750067954,0.0406059183913566,0.492947612461723,0.652119887674186,0,"***"
"autoregressive","ses3","BMI -> BMI",0.520676349973966,0.0326563882696925,0.456671005100212,0.584681694847719,0,"***"
"autoregressive","ses1","FV -> FV",0.102192641190295,0.0185688572079779,0.0657983498285912,0.138586932551999,3.7244566986061e-08,"***"
"autoregressive","ses2","FV -> FV",0.134213697338164,0.02232334888237,0.0904607375143967,0.177966657161932,1.8295862602713e-09,"***"
"autoregressive","ses3","FV -> FV",0.137595207642572,0.0161164481801255,0.10600754965082,0.169182865634324,0,"***"
"autoregressive","ses1","PA -> PA",0.204177946744387,0.0546240274366055,0.0971168202781125,0.311239073210661,0.000185580003888575,"***"
"autoregressive","ses2","PA -> PA",0.355584309750589,0.0488532689075271,0.259833662164785,0.451334957336392,3.37285754881123e-13,"***"
"autoregressive","ses3","PA -> PA",0.289223728068277,0.0334558547969874,0.22365145759418,0.354795998542374,0,"***"
"cross-lagged","ses1","BMI -> FV",0.00545712708782384,0.00630738227702141,-0.00690511501186435,0.017819369187512,0.38693077055848,""
"cross-lagged","ses2","BMI -> FV",0.000677113080999161,0.00670035809338237,-0.0124553474655517,0.0138095736275501,0.919505805447455,""
"cross-lagged","ses3","BMI -> FV",-0.0158682529004579,0.00622720832374407,-0.0280733569392243,-0.00366314886169144,0.0108276353564305,"*"
"cross-lagged","ses1","BMI -> PA",-0.0450451417276353,0.0307009739604578,-0.105217944980434,0.015127661525164,0.142315697908636,""
"cross-lagged","ses2","BMI -> PA",-0.0588862600668946,0.0303014125180154,-0.118275937282896,0.000503417149106726,0.0519738440569981,"."
"cross-lagged","ses3","BMI -> PA",-0.09335812677187,0.0284437168972697,-0.149106787476972,-0.037609466066768,0.00102998477159777,"**"
"cross-lagged","ses1","FV -> BMI",-0.0583410507826365,0.0322561413248935,-0.121561926059662,0.00487982449438896,0.0705006687850565,"."
"cross-lagged","ses2","FV -> BMI",-0.0578116726409324,0.0428728046167559,-0.141840825605997,0.0262174803241318,0.177514896719099,""
"cross-lagged","ses3","FV -> BMI",-0.067013888627016,0.0290226461673268,-0.123897229851026,-0.0101305474030061,0.0209424366989486,"*"
"cross-lagged","ses1","FV -> PA",-0.00418194138521214,0.0601912217726158,-0.122154568245002,0.113790685474578,0.944609465405333,""
"cross-lagged","ses2","FV -> PA",-0.0456281134622656,0.0801206623441901,-0.202661726074373,0.111405499149841,0.569021983076162,""
"cross-lagged","ses3","FV -> PA",0.044150458557591,0.0584655411839394,-0.0704398964995734,0.158740813614755,0.450156880388816,""
"cross-lagged","ses1","PA -> BMI",-0.017855989818295,0.00764798117232258,-0.0328457574704877,-0.00286622216610237,0.0195574019687015,"*"
"cross-lagged","ses2","PA -> BMI",-0.00386947317986148,0.0112563030730863,-0.0259314218021782,0.0181924754424552,0.731026354303478,""
"cross-lagged","ses3","PA -> BMI",-0.0207921679198468,0.00784154375838036,-0.0361613112694671,-0.00542302457022643,0.00801255917961075,"**"
"cross-lagged","ses1","PA -> FV",0.00462740509373653,0.00321476724069148,-0.00167342291669798,0.010928233104171,0.15003113554983,""
"cross-lagged","ses2","PA -> FV",4.82074978605012e-05,0.00410031491813864,-0.00798826206696353,0.00808467706268454,0.990619468769437,""
"cross-lagged","ses3","PA -> FV",0.00535841182894007,0.00319862876829031,-0.000910785356822646,0.0116276090147028,0.0938907717503235,"."
